2012-05-07 10-34-31,446,工业和信息化部ICP/IP地址/域名信息备案管理系统
2012-05-08 15-27-46,8,?t???ì?D1¤×÷??ì¨ ?t????×?×??????ìóyìü?ì?Dêò
2012-05-09 15-09-48,20,时代互联-域名注册查询
2012-05-10 08-37-19,288,时代互联- 控制中心登陆
2012-05-10 15-23-49,112,即时通首页
2012-07-06 18-21-23,368,铁路客户服务中心--客运服务
2012-07-08 07-04-03,70,狮跑3万公里再保养，花费1800元_狮跑_东风悦达起亚
2012-07-08 07-05-31,43,在线等 ，3万公里保养项目_狮跑_东风悦达起亚
2012-08-08 09-41-15,332,摩尔庄园_摩尔庄园2_摩尔庄园海妖宝藏_7k7k摩尔庄园
2012-08-08 10-56-03,320,可爱的两姐妹
2012-08-08 10-40-13,290,美人鱼蛋糕
2012-08-08 10-48-05,276,美丽公主日记
2012-08-09 10-02-28,364,美人鱼蛋糕
2012-08-09 10-08-32,269,小婴儿的卧室
2012-08-09 09-38-24,254,摩尔庄园_摩尔庄园2_摩尔庄园海妖宝藏_7k7k摩尔庄园
2012-08-10 12-13-29,1675,小花仙
2012-08-10 13-38-38,657,小花仙
2012-08-10 08-48-23,606,属虎的人2012年运程_属虎的人2012年龙年运程运势预测中心
2012-08-12 14-02-57,655,小花仙
